Modified Date: 2022-06-03 23:33 UTC,,,,,,,,,,,,,,,,,,
disclaimer_EN,,,,,,,,,,,,,,,,,,
Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
AISHIHIK A,YUKON TERRITORY,2100100,1515,,,61.65,-137.48,613900000,-1372900000,966.2,1943,1966,1953,1966,1943,1966,1943,1966
ANNIE LAKE ROBINSON,YUKON TERRITORY,2100115,1516,,,60.47,-134.83,602800000,-1345000000,820,1976,2006,,,1976,2006,1976,2006
ANVIL,YUKON TERRITORY,2100120,1517,,,62.37,-133.38,622200000,-1332300000,1158.2,1967,1991,,,1967,1991,1967,1991
BABBAGE RIVER (AUT),YUKON TERRITORY,2100143,10187,,,68.82,-138.75,684900000,-1384500000,182.9,1988,1989,1988,1989,,,,
BEAVER CREEK A,YUKON TERRITORY,2100160,1518,,YXQ,62.41,-140.87,622437000,-1405203000,649,1968,2015,1968,2014,1968,2015,1968,2006
BEAVER CREEK A,YUKON TERRITORY,2100155,53179,,YXQ,62.41,-140.87,622437000,-1405208000,649.5,2014,2022,2014,2022,2018,2022,,
BEAVER CREEK A,YUKON TERRITORY,2100159,53178,,YXQ,62.41,-140.87,622437000,-1405208000,649.5,2014,2022,2014,2022,,,,
BEAVER CREEK YTG,YUKON TERRITORY,2100161,6848,,,62.37,-140.87,622200000,-1405200000,663,1993,2008,,,1993,2008,1993,2007
BLANCHARD RIVER,YUKON TERRITORY,2100163,1519,,,60,-136.77,600000000,-1364600000,836,1986,2012,,,1986,2012,1986,2007
BONANZA CREEK,YUKON TERRITORY,2100164,1520,,,63.97,-139.35,635800000,-1392100000,396.2,1975,1976,,,1975,1976,1975,1976
BOUNDARY,YUKON TERRITORY,2100165,1521,,,64.23,-140.35,641400000,-1402100000,1036.3,1967,1978,,,1967,1978,1967,1978
BRAEBURN,YUKON TERRITORY,2100167,1522,,,61.47,-135.78,612800000,-1354700000,716.3,1974,1995,,,1974,1995,1974,1995
BRANDT PEAK,YUKON TERRITORY,2100168,1523,,,63.05,-140.93,630300000,-1405600000,1127.8,1976,1978,,,1976,1978,1976,1978
BRYN MYRDDIN FARM,YUKON TERRITORY,2100174,1524,,,60.87,-135.38,605200000,-1352300000,686,1988,1996,,,1988,1996,1988,1996
BURWASH,YUKON TERRITORY,2100179,10192,,WDB,61.37,-139.03,612200000,-1390200000,806.8,1993,2004,1994,2004,1993,2004,1999,2000
BURWASH A,YUKON TERRITORY,2100182,1525,,YDB,61.37,-139.05,612200000,-1390300000,806.2,1966,2015,1966,2012,1966,2015,1966,2007
BURWASH A,YUKON TERRITORY,2100180,50270,,YDB,61.37,-139.04,612214000,-1390224000,806.2,2012,2022,2012,2022,,,,
BURWASH A,YUKON TERRITORY,2100181,49650,71001,YDB,61.37,-139.04,612214000,-1390224000,805.3,2011,2022,2011,2022,2011,2022,,
BURWASH AIRPORT AUTO,YUKON TERRITORY,2100184,51718,71195,VBR,61.37,-139.02,612200000,-1390100000,807,2013,2022,2013,2022,2013,2022,,
BURWASH AWOS,YUKON TERRITORY,2100185,31087,,CBH,61.37,-139.03,612212030,-1390156042,805.3,2008,2011,2008,2011,,,,
CARCROSS,YUKON TERRITORY,2100200,1526,,,60.17,-134.7,601027600,-1344152110,660,1907,2008,,,1907,2008,1907,2007
CARMACKS,YUKON TERRITORY,2100300,1527,,,62.1,-136.3,620600000,-1361800000,524.9,1963,2008,,,1963,2008,1963,2007
CARMACKS CS,YUKON TERRITORY,2100301,27950,71039,XCK,62.12,-136.19,620654000,-1361131100,542.9,1999,2022,2000,2022,1999,2022,,
CARMACKS TOWER,YUKON TERRITORY,2100302,1528,,,62.18,-136.48,621100000,-1362900000,1234.4,1974,1976,,,1974,1976,1976,1976
CASINO CREEK,YUKON TERRITORY,2100310,1529,,,62.73,-138.83,624400000,-1385000000,1100,1969,1995,,,1969,1995,1969,1995
CASINO MTN,YUKON TERRITORY,2100315,1530,,,62.73,-138.83,624400000,-1385000000,1005,1985,1985,,,1985,1985,1985,1985
CLINTON CREEK,YUKON TERRITORY,2100365,1531,,,64.42,-140.67,642500000,-1404000000,335.3,1964,1966,,,1964,1966,1964,1966
CLINTON CREEK,YUKON TERRITORY,2100366,1532,,,64.47,-140.73,642800000,-1404400000,576.1,1966,1978,,,1966,1978,1966,1978
DAWSON,YUKON TERRITORY,2100398,1533,,,64.07,-139.33,640400000,-1392000000,,1898,1901,,,1898,1901,,
DAWSON,YUKON TERRITORY,2100400,1534,,,64.05,-139.43,640300000,-1392600000,320,1897,1979,1953,1976,1897,1979,1897,1979
DAWSON,YUKON TERRITORY,2100LRP,10194,71966,WON,64.06,-139.13,640339076,-1390736000,370,1995,2022,1995,2022,1995,2022,1999,2007
DAWSON A,YUKON TERRITORY,2100402,1535,,YDA,64.04,-139.13,640235000,-1390740000,370.33,1976,2015,1976,2013,1976,2015,1976,2007
DAWSON CITY A,YUKON TERRITORY,2100401,51421,,YDA,64.04,-139.13,640232000,-1390749000,370.3,2013,2022,2013,2022,,,,
DAWSON CITY A,YUKON TERRITORY,2100407,53022,,YDA,64.04,-139.13,640232000,-1390749000,370.3,2014,2022,2014,2022,2018,2022,,
DAWSON TOWER,YUKON TERRITORY,2100405,1536,,,64.07,-139.33,640400000,-1392000000,1066.8,1974,1976,,,1974,1976,1976,1976
DEMPSTER 177,YUKON TERRITORY,2100412,1537,,,65.88,-137.55,655300000,-1373300000,722.4,1973,1974,,,1973,1974,1973,1974
DEMPSTER 179,YUKON TERRITORY,2100413,1538,,,65.92,-137.52,655500000,-1373100000,685.8,1977,1978,,,1977,1978,1977,1978
DEMPSTER 203,YUKON TERRITORY,2100415,1539,,,66.12,-137.25,660700000,-1371500000,615.7,1974,1975,,,1974,1975,1974,1975
